hash_id,url,titulek,lokalita,dispozice,plocha_m2,cena,cena_za_m2,patro,stav_objektu,image_url,telefon,vlozeno_at,upraveno_at,first_seen_at,last_seen_at,last_price,price_changed_at,status,hypo_mesic
1829557068,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov/1829557068,Moderní byt po rekonstrukci,Praha 3 - Žižkov,2+kk,68,6500000,95588,3. patro,Velmi dobrý,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800,+420 777 123 456,2025-01-01T10:00:00Z,2025-01-07T14:30:00Z,2025-01-01T10:00:00Z,2025-01-07T14:30:00Z,7000000,2025-01-05T12:00:00Z,active,25842
1589137996,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov/1589137996,Prostorný byt s terasou,Praha 5 - Smíchov,3+kk,85,8200000,96470,5. patro,Po rekonstrukci,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800,+420 606 789 123,2025-01-02T11:00:00Z,2025-01-07T14:30:00Z,2025-01-02T11:00:00Z,2025-01-07T14:30:00Z,8500000,2025-01-06T10:00:00Z,active,32623
1721946956,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady/1721946956,Luxusní garsonka centrum,Praha 2 - Vinohrady,1+kk,42,4800000,114285,2. patro,Novostavba,https://images.unsplash.com/photo-1502672260066-6bc0f2a2d1eb?w=800,+420 724 456 789,2025-01-03T09:00:00Z,2025-01-07T14:30:00Z,2025-01-03T09:00:00Z,2025-01-07T14:30:00Z,,,new,19094
3631514444,https://www.sreality.cz/detail/prodej/byt/2+1/praha-letnany/3631514444,Klasický byt s lodžií,Praha 9 - Letňany,2+1,58,5200000,89655,4. patro,Osobní vlastnictví,https://images.unsplash.com/photo-1536376072261-38c75010e6c9?w=800,+420 777 888 999,2025-01-04T12:00:00Z,2025-01-07T14:30:00Z,2025-01-04T12:00:00Z,2025-01-07T14:30:00Z,,,new,20689
2345678901,https://www.sreality.cz/detail/prodej/byt/3+1/praha-stodulky/2345678901,Rodinný byt ve výborné lokalitě,Praha 13 - Stodůlky,3+1,72,6800000,94444,1. patro,Dobrý,https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=800,+420 606 111 222,2025-01-05T08:00:00Z,2025-01-07T14:30:00Z,2025-01-05T08:00:00Z,2025-01-07T14:30:00Z,,,active,27050
3456789012,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice/3456789012,Světlý byt u metra,Praha 7 - Holešovice,2+kk,55,5900000,107272,2. patro,Velmi dobrý,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=800,+420 733 444 555,2025-01-06T10:00:00Z,2025-01-07T14:30:00Z,2025-01-06T10:00:00Z,2025-01-07T14:30:00Z,6200000,2025-01-07T09:00:00Z,active,23466
4567890123,https://www.sreality.cz/detail/prodej/byt/1+1/praha-nove-mesto/4567890123,Útulný byt v centru,Praha 1 - Nové Město,1+1,38,4200000,110526,3. patro,Po rekonstrukci,https://images.unsplash.com/photo-1484154218962-a197022b5858?w=800,+420 604 222 333,2025-01-07T07:00:00Z,2025-01-07T14:30:00Z,2025-01-07T07:00:00Z,2025-01-07T14:30:00Z,,,new,16704
5678901234,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-chodov/5678901234,Velký byt pro rodinu,Praha 11 - Chodov,4+kk,98,9200000,93877,6. patro,Novostavba,https://images.unsplash.com/photo-1513584684374-8bab748fbf90?w=800,+420 777 666 888,2025-01-01T15:00:00Z,2025-01-07T14:30:00Z,2025-01-01T15:00:00Z,2025-01-07T14:30:00Z,,,active,36608
6789012345,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-karlin/6789012345,Moderní loft Karlín,Praha 8 - Karlín,2+kk,62,7800000,125806,4. patro,Novostavba,https://images.unsplash.com/photo-1502005229762-cf1b2da7c5d6?w=800,+420 724 777 999,2025-01-02T09:00:00Z,2025-01-07T14:30:00Z,2025-01-02T09:00:00Z,2025-01-07T14:30:00Z,8100000,2025-01-06T14:00:00Z,active,31032
7890123456,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-dejvice/7890123456,Byt v klidné části Dejvic,Praha 6 - Dejvice,3+kk,78,8500000,108974,1. patro,Velmi dobrý,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800,+420 606 333 111,2025-01-03T11:00:00Z,2025-01-07T14:30:00Z,2025-01-03T11:00:00Z,2025-01-07T14:30:00Z,,,active,33816
8901234567,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nusle/8901234567,Garsonka u parku Gröbovka,Praha 4 - Nusle,1+kk,35,3800000,108571,5. patro,Dobrý,https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=800,+420 733 222 444,2025-01-04T08:30:00Z,2025-01-07T14:30:00Z,2025-01-04T08:30:00Z,2025-01-07T14:30:00Z,,,active,15120
9012345678,https://www.sreality.cz/detail/prodej/byt/2+1/praha-hostivar/9012345678,Cihlový byt s balkonem,Praha 15 - Hostivař,2+1,65,5800000,89230,2. patro,Původní stav,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?w=800,+420 777 555 666,2025-01-05T13:00:00Z,2025-01-07T14:30:00Z,2025-01-05T13:00:00Z,2025-01-07T14:30:00Z,6100000,2025-01-07T10:00:00Z,active,23072
1234567890,https://www.sreality.cz/detail/prodej/byt/3+1/praha-brevnov/1234567890,Prostorný byt Břevnov,Praha 6 - Břevnov,3+1,82,7900000,96341,3. patro,Po rekonstrukci,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800,+420 604 888 777,2025-01-06T12:00:00Z,2025-01-07T14:30:00Z,2025-01-06T12:00:00Z,2025-01-07T14:30:00Z,,,active,31424
2345678912,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-strasnice/2345678912,Nový byt se zahradou,Praha 10 - Strašnice,2+kk,52,5600000,107692,Přízemí,Novostavba,https://images.unsplash.com/photo-1600607687644-aac4c3eac7f4?w=800,+420 724 111 999,2025-01-07T09:30:00Z,2025-01-07T14:30:00Z,2025-01-07T09:30:00Z,2025-01-07T14:30:00Z,,,new,22272
3456789123,https://www.sreality.cz/detail/prodej/byt/4+1/praha-libus/3456789123,Velkorysý byt Libuš,Praha 12 - Libuš,4+1,105,8900000,84761,4. patro,Velmi dobrý,https://images.unsplash.com/photo-1600607687920-4e2a09cf159d?w=800,+420 733 666 222,2025-01-01T16:00:00Z,2025-01-07T14:30:00Z,2025-01-01T16:00:00Z,2025-01-07T14:30:00Z,,,active,35408
